Cargo;Codigo;Posicao
647 - ESCREVENTE SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
648 - ESCREVENTE TERCEIRA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
649 - OFIC SERVENTIA PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
649 - OFIC SERVENTIA PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
650 - OFIC SERVENTIA SEG ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
650 - OFIC SERVENTIA SEG ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
711 - TECNICO JUDIC TERCEI ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
812 - ADMINIST JUDICIARIO AUXILIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
711 - TECNICO JUDIC TERCEI ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
743 - TECNICO JUDICIARIO AUXILIAR - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
743 - TECNICO JUDICIARIO AUXILIAR - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
802 - ASSESSOR JUDICIARIO AUXILIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
812 - ADMINIST JUDICIARIO AUXILIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
882 - TEC JUDIC PRIMEIRA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
891 - TEC JUDIC SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
646 - ESCREVENTE PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
647 - ESCREVENTE SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
646 - ESCREVENTE PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
646 - ESCREVENTE PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
647 - ESCREVENTE SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
647 - ESCREVENTE SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
649 - OFIC SERVENTIA PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
649 - OFIC SERVENTIA PRIM ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
802 - ASSESSOR JUDICIARIO AUXILIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
811 - ADMINIST JUDICIARIO ASSISTE - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
811 - ADMINIST JUDICIARIO ASSISTE - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
743 - TECNICO JUDICIARIO AUXILIAR - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
882 - TEC JUDIC PRIMEIRA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
891 - TEC JUDIC SEGUNDA ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
711 - TECNICO JUDIC TERCEI ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;A I
711 - TECNICO JUDIC TERCEI ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
650 - OFIC SERVENTIA SEG ENTRANCIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
673 - OFIC COORDENADOR SERVENTIA - Servidores Efetivos do Poder Judiciário - LEGADO;440605;C V
